Chain Name,Chain ID,Token Name,,FinalChainID
Ethereum,1,ETH,eip155:,eip155:1
Expanse Network,2,EXP,eip155:,eip155:2
Ropsten,3,ETH,eip155:,eip155:3
Rinkeby,4,ETH,eip155:,eip155:4
Goerli,5,ETH,eip155:,eip155:5
ThaiChain,7,TCH,eip155:,eip155:7
Ubiq,8,UBQ,eip155:,eip155:8
OP Mainnet,10,ETH,eip155:,eip155:10
Metadium Mainnet,11,META,eip155:,eip155:11
Flare Mainnet,14,FLR,eip155:,eip155:14
Diode Prenet,15,DIODE,eip155:,eip155:15
ThaiChain 2.0 ThaiFi,17,TFI,eip155:,eip155:17
Songbird Canary-Network,19,SGB,eip155:,eip155:19
Elastos Smart Chain,20,ELA,eip155:,eip155:20
Cronos Mainnet,25,CRO,eip155:,eip155:25
ShibaChain,27,SHIB,eip155:,eip155:27
Genesis L1,29,L1,eip155:,eip155:29
Rootstock Mainnet,30,RBTC,eip155:,eip155:30
GoodData Mainnet,33,GooD,eip155:,eip155:33
TBWG Chain,35,TBG,eip155:,eip155:35
Dxchain Mainnet,36,DX,eip155:,eip155:36
Valorbit,38,VAL,eip155:,eip155:38
U2U Solaris Mainnet,39,U2U,eip155:,eip155:39
Telos EVM Mainnet,40,TLOS,eip155:,eip155:40
Crab Network,44,CRAB,eip155:,eip155:44
Darwinia Network,46,RING,eip155:,eip155:46
Acria IntelliChain,47,ACRIA,eip155:,eip155:47
Ennothem Mainnet Proterozoic,48,ETMP,eip155:,eip155:48
XDC Network,50,XDC,eip155:,eip155:50
XDC Apothem Network,51,TXDC,eip155:,eip155:51
CoinEx Smart Chain Mainnet,52,cet,eip155:,eip155:52
Openpiece Mainnet,54,BELLY,eip155:,eip155:54
Zyx Mainnet,55,ZYX,eip155:,eip155:55
BNB Chain,56,BNB,eip155:,eip155:56
Syscoin Mainnet,57,SYS,eip155:,eip155:57
Ontology Mainnet,58,ONG,eip155:,eip155:58
GoChain,60,GO,eip155:,eip155:60
Ethereum Classic,61,ETC,eip155:,eip155:61
Ellaism,64,ELLA,eip155:,eip155:64
OKXChain Mainnet,66,OKT,eip155:,eip155:66
SoterOne Mainnet,68,SOTER,eip155:,eip155:68
Optimism Kovan,69,ETH,eip155:,eip155:69
Hoo Smart Chain,70,HOO,eip155:,eip155:70
Conflux eSpace (Testnet),71,CFX,eip155:,eip155:71
FNCY,73,FNCY,eip155:,eip155:73
IDChain Mainnet,74,EIDI,eip155:,eip155:74
Decimal Smart Chain Mainnet,75,DEL,eip155:,eip155:75
Mix,76,MIX,eip155:,eip155:76
POA Network Sokol,77,SPOA,eip155:,eip155:77
PrimusChain mainnet,78,PETH,eip155:,eip155:78
Zenith Mainnet,79,ZENITH,eip155:,eip155:79
GeneChain,80,RNA,eip155:,eip155:80
Meter Mainnet,82,MTR,eip155:,eip155:82
GateChain Mainnet,86,GT,eip155:,eip155:86
Nova Network,87,SNT,eip155:,eip155:87
Viction,88,VIC,eip155:,eip155:88
Garizon Stage0,90,GAR,eip155:,eip155:90
Garizon Stage1,91,GAR,eip155:,eip155:91
Garizon Stage2,92,GAR,eip155:,eip155:92
Garizon Stage3,93,GAR,eip155:,eip155:93
SwissDLT,94,BCTS,eip155:,eip155:94
Six Protocol,98,SIX,eip155:,eip155:98
POA Network Core,99,POA,eip155:,eip155:99
Gnosis,100,XDAI,eip155:,eip155:100
EtherInc,101,ETI,eip155:,eip155:101
WorldLand Mainnet,103,WLC,eip155:,eip155:103
Velas EVM Mainnet,106,VLX,eip155:,eip155:106
ThunderCore Mainnet,108,TT,eip155:,eip155:108
Shibarium,109,BONE,eip155:,eip155:109
EtherLite Chain,111,ETL,eip155:,eip155:111
Coinbit Mainnet,112,GIDR,eip155:,eip155:112
Dehvo,113,Deh,eip155:,eip155:113
Uptick Mainnet,117,UPTICK,eip155:,eip155:117
ENULS Mainnet,119,NULS,eip155:,eip155:119
Realchain Mainnet,121,REAL,eip155:,eip155:121
Fuse Mainnet,122,FUSE,eip155:,eip155:122
Fuse Sparknet,123,SPARK,eip155:,eip155:123
Decentralized Web Mainnet,124,DWU,eip155:,eip155:124
OYchain Mainnet,126,OY,eip155:,eip155:126
Huobi ECO Chain Mainnet,128,HT,eip155:,eip155:128
Innovator Chain,129,INOV8,eip155:,eip155:129
Namefi Chain Mainnet,132,NFIC,eip155:,eip155:132
iExec Sidechain,134,xRLC,eip155:,eip155:134
Deamchain Mainnet,136,DEAM,eip155:,eip155:136
Polygon Mainnet,137,MATIC,eip155:,eip155:137
Defi Oracle Meta Mainnet,138,ETH,eip155:,eip155:138
WoopChain Mainnet,139,WOOC,eip155:,eip155:139
Eternal Mainnet,140,Eter,eip155:,eip155:140
DAX CHAIN,142,DAX,eip155:,eip155:142
PHI Network v2,144,Φ,eip155:,eip155:144
Flag Mainnet,147,FLAG,eip155:,eip155:147
ShimmerEVM,148,SMR,eip155:,eip155:148
Puppynet Shibarium,157,BONE,eip155:,eip155:157
Roburna Mainnet,158,RBA,eip155:,eip155:158
Armonia Eva Chain Mainnet,160,AMAX,eip155:,eip155:160
Lightstreams Mainnet,163,PHT,eip155:,eip155:163
Omni Omega,164,OMNI,eip155:,eip155:164
